"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1",1,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0373820636447501,2,594.5,"troot(x4*x4)","x2*x4","NA"
"P1",2,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0346001734121618,3,618.29,"troot(x4*x4)","x4*x2","x4"
"P1",3,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0361813251781431,2,599.8,"troot(x4*x4)","x2*x4","NA"
"P1",4,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322966243840662,1,598.91,"troot((x4*x6)*x4)","NA","NA"
"P1",5,FALSE,FALSE,FALSE,FALSE,7,0.57092857848781,0.57092857848781,0.030155366878766,7,606.53,"troot(x4*x4)","x2*x4","x6"
"P1",6,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322621358774422,1,574.05,"troot(x4*(x4*x6))","NA","NA"
"P1",7,TRUE,FALSE,FALSE,FALSE,2,0.635475473737891,0.453213210606836,0.0322057387265401,3,577.48,"troot(x4*(x4*x6))","x2","troot(x4*x4)"
"P1",8,FALSE,FALSE,FALSE,FALSE,7,0.694310458117225,0.694310458117225,0.078120990319716,7,594.879999999999,"x4","x10*x4","troot(x4)*x4"
"P1",9,TRUE,FALSE,FALSE,TRUE,0,0.999999460710163,NA,0.03620721398779,2,577.28,"troot(x4*(x4*x7))","troot((x6*x4)*x4)","NA"
"P1",10,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0315085041295585,2,589.879999999999,"troot((x4*x6)*x4)","x10","NA"
"P1",11,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.039946684258083,3,573.48,"troot(x4*x4)","x2*x4","x2"
"P1",12,FALSE,FALSE,FALSE,FALSE,5,0.833111138500608,0.833111138500608,0.0312092763385205,5,585.05,"x4*x2","troot(x4*x4)","x4"
"P1",13,FALSE,FALSE,FALSE,FALSE,7,0.749520163559321,0.749520163559321,0.06273624368506,7,599.97,"x4","x4*x10","troot(x4*x4)"
"P1",14,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322399115995418,1,577.799999999999,"troot(x4*(x4*x6))","NA","NA"
"P1",15,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0437377589277544,2,587.92,"troot((x4*x7)*x4)","x4","NA"
"P1",16,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0306351524094039,2,586.450000000001,"troot(x4*(x4*x6))","x6","NA"
"P1",17,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0457057148505223,3,575.35,"troot((x7*x4)*x4)","x2","x4"
"P1",18,TRUE,FALSE,FALSE,FALSE,3,0.480449489752386,0.307265986336515,0.031753860726531,4,559.75,"troot(x4*(x4*x6))","x10","x6"
"P1",19,FALSE,FALSE,FALSE,FALSE,3,0.404503775670354,0.404503775670354,0.0387857933325187,3,617.199999999999,"troot(x4*x4)","x4*x2","x10"
"P1",20,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.033521049591655,3,611.25,"troot(x4*x4)","x4*x2","x4"
"P1",21,FALSE,FALSE,FALSE,FALSE,5,0.865852860767065,0.865852860767065,0.0781450839601704,5,609.560000000001,"x4","troot(x4)*x4","x4*x10"
"P1",22,FALSE,FALSE,FALSE,FALSE,5,0.783659404012364,0.783659404012364,0.0790432063757734,5,612.32,"x4","x10*x4","x4*troot(x4)"
"P1",23,FALSE,FALSE,FALSE,FALSE,5,0.626030915929254,0.626030915929254,0.0391288695941181,5,589.01,"troot(x4*x4)","x4","x4*x6"
"P1",24,FALSE,FALSE,FALSE,FALSE,4,0.260008567617798,0.260008567617798,0.0361765599991621,4,594.179999999998,"troot(x4*x4)","x4*x2","x6"
"P1",25,FALSE,FALSE,FALSE,FALSE,4,0.740221798098744,0.740221798098744,0.0944026990029269,4,618.23,"x4","x4*troot(x4)","x4*x10"
"P1",26,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.032378697370262,1,604.390000000001,"troot(x4*(x6*x4))","NA","NA"
"P1",27,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0310797695559043,2,599.73,"troot((x4*x4)*x6)","x10","NA"
"P1",28,FALSE,FALSE,FALSE,FALSE,5,0.833111138500608,0.833111138500608,0.0300278793579735,5,587.129999999999,"troot(x4*x4)","x4*x2","x4"
"P1",29,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0358350465514364,4,601.470000000001,"troot(x4*x4)","x4*x2","x2"
"P1",30,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0383491117916686,2,591.439999999999,"troot(x4*x4)","x2*x4","NA"
"P2",1,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0350598321556016,4,625.389999999999,"troot(x4*x4)","x4*x2","x4"
"P2",2,FALSE,FALSE,FALSE,FALSE,6,0.650423022233851,0.650423022233851,0.0377168181623696,6,630.450000000001,"troot(x4*x4)","x4","x4*x8"
"P2",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0318586480181351,1,629.129999999997,"troot(x4*(x4*x6))","NA","NA"
"P2",4,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322374758178304,1,638.769999999997,"troot((x6*x4)*x4)","NA","NA"
"P2",5,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0307928228966084,2,641.939999999999,"troot(x4*(x6*x4))","x10","NA"
"P2",6,TRUE,FALSE,FALSE,TRUE,2,0.749319908140469,0.498640355570775,0.036294970770797,4,642.34,"troot(x4*(x7*x4))","troot((x6*x4)*x4)","x4"
"P2",7,FALSE,FALSE,FALSE,FALSE,4,0.267238121297937,0.267238121297937,0.0327880870710345,4,626.25,"troot(x4*x4)","x4*x2","x6"
"P2",8,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0321475224070804,2,623.389999999999,"troot((x6*x4)*x4)","x4","NA"
"P2",9,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0387504869873377,2,629.029999999999,"troot(x4*x4)","x2*x4","NA"
"P2",10,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0328192677059886,2,645.860000000001,"troot((x4*x6)*x4)","x4","NA"
"P2",11,FALSE,FALSE,FALSE,FALSE,6,0.708963591950553,0.708963591950553,0.0713218004177534,6,668,"x4","x4*x10","x4*troot(x4)"
"P2",12,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0377790736277372,2,640.82,"troot(x4*x4)","x4*x2","NA"
"P2",13,TRUE,FALSE,FALSE,TRUE,0,0.999999460710163,NA,0.0361134080120005,2,630.75,"troot(x4*(x7*x4))","troot(x4*(x4*x6))","NA"
"P2",14,FALSE,FALSE,FALSE,FALSE,4,0.262715586591847,0.262715586591847,0.0359186352487904,4,650.68,"troot(x4*x4)","x2*x4","x2"
"P2",15,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0356839946058696,3,608.919999999998,"troot(x4*x4)","x2*x4","x4"
"P2",16,TRUE,FALSE,FALSE,FALSE,2,0.665760237047183,0.498640355570775,0.031720384763687,3,659.950000000001,"troot(x4*(x6*x4))","x10","x4"
"P2",17,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0309602965092023,2,642.09,"troot((x6*x4)*x4)","x4","NA"
"P2",18,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0788532569446312,3,638.16,"x4","x4*x10","x4*troot(x4)"
"P2",19,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0347935021900085,4,667.16,"troot(x4*x4)","x4*x2","x2"
"P2",20,TRUE,FALSE,FALSE,FALSE,2,0.665760237047183,0.498640355570775,0.0313450896822422,3,626.649999999998,"troot(x4*(x6*x4))","x10","x4"
"P2",21,TRUE,FALSE,FALSE,FALSE,3,0.738672634702098,0.651563512936131,0.0319966263733599,4,633.810000000001,"troot((x4*(x6*x4)))","x8*x4","troot(x4*x4)"
"P2",22,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0909676676136891,3,625.390000000003,"x10*x4","x4","x4*troot(x4)"
"P2",23,FALSE,FALSE,FALSE,FALSE,4,0.260008567617798,0.260008567617798,0.0381666720694753,4,650.389999999999,"troot(x4*x4)","x4*x2","x6"
"P2",24,FALSE,FALSE,FALSE,FALSE,5,0.417659677613183,0.417659677613183,0.0348389124749198,5,624.66,"troot(x4*x4)","x4*x8","x4"
"P2",25,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0388411090013399,3,695.870000000003,"troot(x4*x4)","x2*x4","x4"
"P2",26,FALSE,FALSE,FALSE,TRUE,5,0.888210537542609,0.865852860767065,0.051779840596262,6,630.440000000002,"x4","troot(((x4*x7)*x4))","x10*x4"
"P2",27,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0449877548551742,1,661.440000000002,"troot(x4*(x4*x7))","NA","NA"
"P2",28,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0388966112905858,3,657.019999999997,"troot(x4*x4)","x4*x2","x4"
"P2",29,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0378675845842757,2,630.360000000001,"troot(x4*x4)","x2*x4","NA"
"P2",30,FALSE,FALSE,FALSE,FALSE,5,0.865852860767065,0.865852860767065,0.0625234160301867,5,634.970000000001,"troot(x4*x4)","x4","x3*x4"
"P3",1,FALSE,FALSE,FALSE,FALSE,3,0.381478412441251,0.381478412441251,0.0362161959668037,3,576.639999999999,"troot(x4*x4)","x4*x2","x7"
"P3",2,FALSE,FALSE,FALSE,FALSE,3,0.284002128515961,0.284002128515961,0.0369869362144127,3,571.68,"troot(x4*x4)","x2*x4","x3"
"P3",3,TRUE,FALSE,FALSE,FALSE,1,0.453213554521817,-0.0935728909563669,0.0343335021313318,2,569.729999999996,"troot(x4*(x4*x6))","x2","NA"
"P3",4,FALSE,FALSE,TRUE,FALSE,3,0.996429498692413,0.995239401024006,0.0381548229231638,4,580.059999999998,"x4","troot((x9*x4)*(x9*x4))","troot(x4*x4)"
"P3",5,FALSE,FALSE,FALSE,FALSE,3,0.377869053809186,0.377869053809186,0.0369306650026756,3,575.610000000001,"troot(x4*x4)","x4*x2","x6"
"P3",6,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.0306319324829807,2,582.040000000001,"troot(x4*(x4*x6))","troot(x4*x4)","NA"
"P3",7,FALSE,FALSE,FALSE,FALSE,5,0.57441356626177,0.57441356626177,0.0359231609414382,5,574.25,"troot(x4*x4)","x4","x8*x4"
"P3",8,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0322891835212505,2,574,"troot(x4*(x4*x6))","x4","NA"
"P3",9,TRUE,FALSE,TRUE,FALSE,5,0.904180585076138,0.865852860767065,0.0561911350591279,7,565.829999999994,"x4","troot(x4)*x4","x10*x4"
"P3",10,FALSE,FALSE,FALSE,FALSE,5,0.98986494709689,0.98986494709689,0.0810630689014307,5,589.75,"x4","x4*x10","troot(x4)*x4"
"P3",11,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0426424356510299,2,619.470000000001,"troot((x4*x7)*x4)","x4","NA"
"P3",12,FALSE,FALSE,FALSE,FALSE,4,0.534323633753451,0.534323633753451,0.034526214448681,4,593.900000000001,"troot(x4*x4)","x4*x2","x7"
"P3",13,FALSE,FALSE,FALSE,TRUE,1,0.45321301523198,-0.0935728909563669,0.0453046085823284,2,600.449999999997,"troot((x7*x4)*x4)","x2","NA"
"P3",14,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0313205147505599,2,567.010000000002,"troot((x6*x4)*x4)","x10","NA"
"P3",15,FALSE,FALSE,FALSE,FALSE,4,0.267238121297937,0.267238121297937,0.0361432055786497,4,582.400000000001,"troot(x4*x4)","x4*x2","x6"
"P3",16,TRUE,FALSE,FALSE,FALSE,1,0.467672661882095,-0.0646546762358107,0.0309691881609112,2,573.849999999999,"troot((x4*x4)*x6)","x7","NA"
"P3",17,TRUE,FALSE,FALSE,TRUE,2,0.749319908140469,0.498640355570775,0.0362814913478186,4,614.440000000002,"troot((x4*x7)*x4)","troot((x4*x6)*x4)","x4"
"P3",18,FALSE,FALSE,FALSE,FALSE,5,0.452567015058878,0.452567015058878,0.0590356635314009,5,575.260000000002,"troot(x4*x4)","x4*x3","x4*x8"
"P3",19,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0386845854787064,3,615.160000000003,"troot(x4*x4)","x2*x4","x2"
"P3",20,FALSE,FALSE,FALSE,FALSE,5,0.831349739176229,0.831349739176229,0.0527321235582707,5,649.040000000001,"troot(x4*x4)","x4*x10","x4"
"P3",21,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0321000054025508,2,596.299999999996,"troot((x4*x4)*x6)","x4","NA"
"P3",22,TRUE,FALSE,FALSE,TRUE,2,0.724821332038503,0.449643203366842,0.0377236899956898,4,571.980000000003,"troot((x4*x7)*x4)","troot((x4*x4)*x6)","x2"
"P3",23,FALSE,FALSE,FALSE,FALSE,4,0.740221798098744,0.740221798098744,0.0932437409131957,4,581.5,"x4","x4*x10","x4*troot(x4)"
"P3",24,FALSE,FALSE,FALSE,FALSE,3,0.788552607527299,0.788552607527299,0.0688267467039428,3,575.889999999999,"troot(x4*x4)","x4*x3","x4"
"P3",25,FALSE,FALSE,FALSE,FALSE,6,0.481828830945274,0.481828830945274,0.0947679028108572,6,621.160000000003,"x4","x4*troot(x4)","x10*x4"
"P3",26,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.038749943842268,2,570.5,"troot(x4*x4)","x2*x4","NA"
"P3",27,FALSE,FALSE,FALSE,TRUE,2,0.790932482104058,0.686399262445923,0.0434741629799648,3,581.309999999998,"troot(x7)*troot(x4*x4)","troot(x4*x4)","x3*x4"
"P3",28,FALSE,FALSE,FALSE,FALSE,5,0.833111138500608,0.833111138500608,0.031267205666456,5,577.879999999997,"x4*x2","troot(x4*x4)","x4"
"P3",29,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.032418565063171,2,590.950000000004,"troot(x4*(x4*x6))","x4","NA"
"P3",30,FALSE,FALSE,FALSE,FALSE,5,0.783659404012364,0.783659404012364,0.0797920870255024,5,606.370000000003,"x4","x4*x10","x4*troot(x4)"
